"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 01 17:44:07 IST 2023","Fri Sep 01 17:44:23 IST 2023","15552","","addProduct","","","","login",""
"broken","Fri Sep 01 16:33:15 IST 2023","Fri Sep 01 16:33:22 IST 2023","6707","","Supplier","","","","addASupplier",""
